Site,Date_mm/dd/yy,Avg_Depth_m,Start_Time,Duration_min,Visibility_m,Weather,Current,Boats,Researcher,Parrotfish,Rabbitfish,Butterflyfish,Angelfish,Cleaner_Wrasse,Batfish,Thicklip,Red_Breast,Slingjaw,Sweetlips,Squirrel/Soldier,Triggerfish,Porcupine/Puffer,Ray,Snapper<30,Snapper>30,Eel,Trevally,Emperorfish,Grouper<30,Grouper>30,Barracuda,Total_abundance_N
Twins Wall,03/24/2025,10.0,12:54,25,15,2,None,7,Scar,41,34,37,2,14,0,7,18,7,0,3,5,1,0,6,0,0,7,4,47,7,0,240
Twins Wall,03/24/2025,10.0,12:54,25,15,2,None,7,Gav,89,38,54,3,16,0,12,13,4,0,8,3,0,0,3,0,0,6,4,34,9,1,297
Shark Island,03/25/2025,12.8,7:09,65,12,2,None,0,Tessa,12,31,107,9,8,1,4,0,0,0,178,1,1,0,NA,5,0,5,NA,47,39,0,448
Shark Island,03/25/2025,12.8,7:09,65,12,2,None,0,Niamh,15,42,83,10,13,1,1,0,0,0,146,1,1,0,266,5,0,8,0,70,28,0,690
Shark Island,03/25/2025,12.8,7:09,65,12,2,None,0,Emma,19,48,117,11,16,1,5,1,4,1,177,0,0,0,248,2,0,14,1,125,21,0,811
Shark Island,03/25/2025,12.7,7:10,51,12,2,None,0,Lucca,4,8,44,4,13,1,1,0,0,1,88,3,0,0,141,1,0,11,2,36,0,0,358
Green Rock,03/26/2025,8.9,7:10,25,12,2,None,0,Niamh,61,51,56,4,5,0,17,4,6,0,4,7,0,1,15,0,0,1,2,20,3,80,337
Green Rock,03/26/2025,8.9,7:10,25,12,2,None,0,Renzo,81,95,81,4,3,0,6,7,5,0,5,5,0,1,2,0,0,1,3,31,2,95,427
Shark Island,04/02/2025,11.9,9:07,25,12,4,Light,0,Emma,27,49,81,10,23,4,5,7,3,1,8,0,0,0,228,1,0,80,15,58,8,0,608
Shark Island,04/02/2025,12.0,9:07,25,12,4,Light,0,Tessa,27,39,72,8,6,3,3,6,2,8,3,0,0,0,395,2,0,39,16,36,30,0,695
Shark Island,04/02/2025,11.3,9:07,25,12,4,Light,0,Renzo,29,65,76,11,16,5,7,10,4,2,25,0,0,1,237,0,1,47,15,60,29,0,640
Shark Island,04/02/2025,14.0,9:06,25,12,4,Light,3,Bjarne,16,44,80,12,22,14,9,3,7,4,19,0,0,0,333,1,0,37,8,39,10,0,658
Shark Island,04/02/2025,14.0,9:06,25,12,4,Light,3,Camille,29,43,91,20,44,28,24,2,7,2,25,0,0,0,310,3,0,114,25,62,2,0,831
Shark Island,04/07/2025,11.0,8:15,25,4,1,None,0,Ben,16,60,59,3,5,0,6,3,1,0,86,0,0,0,38,0,0,58,21,27,1,0,384
Shark Island,04/07/2025,11.0,8:15,25,4,1,None,0,Camille,15,80,71,1,2,0,2,2,3,0,90,1,0,0,23,0,0,75,21,20,9,0,415
Shark Island,04/07/2025,11.0,9:09,25,4,1,None,1,Ben,10,45,40,3,6,0,5,2,0,1,10,0,0,1,50,1,0,4,2,23,7,0,210
Shark Island,04/07/2025,11.0,9:09,25,4,1,None,1,Camille,16,54,38,2,17,0,2,1,0,1,38,1,0,2,62,0,0,21,0,30,5,0,290
Twins Wall,04/07/2025,10.0,13:20,25,4,2,None,NA,Jenny,34,18,16,0,7,0,2,11,2,1,19,1,0,0,1,0,0,3,0,20,3,0,138
Twins Wall,04/07/2025,10.0,13:20,25,4,2,None,NA,Ben,35,18,21,0,6,0,2,20,3,0,22,2,0,0,0,0,0,6,1,16,5,0,157
Aow Leuk,04/16/2025,7.5,14:40,59,10,3,Light,5,Lucca,23,88,36,2,6,0,4,18,3,0,0,0,0,1,0,0,0,0,8,21,0,0,210
Aow Leuk,04/16/2025,7.5,14:40,59,10,3,Light,5,Camille,53,107,71,2,10,2,8,25,2,1,3,0,0,1,10,0,0,0,21,23,1,0,340
Aow Leuk,04/16/2025,7.3,14:56,61,10,3,Light,5,Emma,44,95,54,1,12,2,5,19,6,0,1,1,0,1,11,0,0,0,11,32,6,0,301
Aow Leuk,04/16/2025,7.3,14:56,61,10,3,Light,5,Tessa,43,78,60,1,10,0,6,20,0,0,5,1,0,2,6,0,0,0,16,40,19,0,307
Aow Leuk,04/16/2025,7.3,14:56,61,10,3,Light,5,Niamh,46,68,47,2,8,2,5,14,4,0,2,1,0,2,12,0,0,0,6,34,22,0,275
Aow Leuk,04/21/2025,6.0,14:15,20,15,2,None,3,Tessa,47,76,57,0,4,0,8,11,3,1,2,1,0,0,0,0,0,0,10,43,10,0,273
Aow Leuk,04/21/2025,6.0,14:15,20,15,2,None,3,Camille,107,94,59,0,2,0,19,9,10,1,1,2,0,0,0,0,0,1,10,32,7,0,354
Aow Leuk,04/21/2025,6.1,14:15,20,15,2,None,3,Renzo,121,79,33,0,6,0,10,22,4,1,1,3,0,0,0,0,0,1,9,34,10,0,334
Aow Leuk,04/21/2025,6.8,13:07,25,18,2,None,3,Tessa,61,63,37,0,9,2,10,11,4,1,5,1,0,1,0,1,0,0,4,48,15,0,273
Aow Leuk,04/21/2025,6.8,13:07,25,18,2,None,3,Camille,87,78,45,1,14,2,20,13,11,2,3,2,0,1,2,0,0,0,15,46,14,0,356
Aow Leuk,04/21/2025,6.6,13:07,25,18,2,None,3,Renzo,76,68,32,1,10,1,13,6,8,1,16,2,0,1,2,0,0,1,8,46,12,0,304
Twins Wall,04/22/2025,10.0,13:10,18,15,1,None,5,Bjarne,69,46,25,0,9,0,5,11,4,3,5,1,0,0,6,0,0,2,3,26,1,0,216
Twins Wall,04/22/2025,10.0,13:10,18,15,1,None,5,Ben,79,47,29,0,5,0,8,14,4,3,1,3,0,0,7,0,0,5,7,17,1,0,230
Shark Island,04/29/2025,13.0,8:50,25,6,3,Light,2,Renzo,21,22,31,4,11,4,7,5,1,2,0,0,0,0,370,1,0,213,33,18,19,1,763
Shark Island,04/29/2025,13.0,8:50,25,6,3,Light,2,Emma,29,35,59,6,17,4,8,8,2,2,0,2,2,0,320,3,0,114,29,21,13,0,674
Shark Island,04/29/2025,14.0,7:18,25,12,3,Light,0,Camille,52,43,72,11,46,2,5,3,4,1,1,0,1,0,356,0,0,214,29,49,31,0,920
Shark Island,04/29/2025,14.0,7:18,25,12,3,Light,0,Lucca,30,29,30,7,19,2,0,2,2,3,1,0,0,0,252,0,0,213,35,19,4,0,648
Shark Island,05/06/2025,12.0,7:13,25,10,2,None,0,Camille,41,47,93,12,19,5,15,6,2,0,9,2,0,0,73,4,0,134,39,80,19,0,600
Shark Island,05/06/2025,12.0,7:13,25,10,2,None,0,Bjarne,22,41,66,7,9,10,2,2,0,0,3,1,0,0,127,3,0,107,31,61,4,0,496
Shark Island,05/06/2025,12.0,7:13,25,10,2,None,0,Bjarne,27,98,84,5,26,0,16,8,0,1,3,1,1,0,160,0,0,26,0,32,9,0,497
Shark Island,05/06/2025,12.0,7:13,25,10,2,None,0,Camille,35,94,70,4,29,0,10,11,1,1,8,1,1,0,104,0,0,65,4,64,4,0,506
Shark Island,05/29/2025,14.0,13:15,25,7,4,None,0,Scar,46,53,57,13,34,1,4,7,1,2,13,1,0,0,486,0,0,15,8,162,12,0,915
Shark Island,05/29/2025,14.0,13:15,25,7,4,None,0,Flo,43,49,53,14,24,0,1,8,0,3,6,1,0,0,251,1,0,24,5,55,9,0,547
Shark Island,05/29/25,16.6,13:30,25,7,4,None,0,Jess,25,32,57,2,23,0,1,4,0,0,0,0,0,0,281,1,0,15,8,26,0,0,475
Shark Island,05/29/25,16.6,13:30,25,7,4,None,0,James,21,36,55,10,25,0,4,3,0,1,22,0,0,0,258,1,0,13,2,54,4,0,509
Shark Island,05/29/25,16.6,13:30,25,7,4,None,0,Emma,24,42,68,10,18,0,4,5,4,1,7,1,0,0,189,0,0,18,3,52,0,0,446
Shark Island,05/29/25,16.6,13:40,25,7,4,None,0,Elena,21,49,62,5,18,0,2,1,8,1,9,0,0,1,230,0,0,9,1,18,3,0,438
Shark Island,05/29/25,16.6,13:40,25,7,4,None,0,Mirea,20,39,46,7,14,0,2,3,1,0,10,1,0,1,180,0,0,9,3,35,3,0,374
Twins Wall,06/16/2025,10.0,15:06,25,15,3,None,0,Elena,75,89,55,1,11,1,7,14,10,0,6,0,0,0,11,0,0,1,7,11,8,0,307
Shark Island,06/26/25,13.0,9:00,25,5,2,Light,2,Jess,23,63,51,5,22,0,8,3,0,2,67,1,0,0,106,1,0,2,3,51,8,0,416
Shark Island,06/26/25,13.0,9:00,25,5,2,Light,2,James,41,71,67,3,23,1,6,8,0,2,121,2,0,0,170,2,,4,3,45,9,0,578
